activity_at_injury_unique,injury_mechanism_unique,object_involved_unique
crawling across bed,,fake nails and glue
crawling along the floor pushing a toy truck,,fake pearl white beads
crawling and went to stand up,,fake pearls
crawling around,,fake plastic cherries
crawling around and tried to push himself up,,fake plastic ring
crawling around home,,fake snow
crawling around in parent attic floor fixing air conditioner,,fake wood floor
crawling around on floor,,fallen drawer
crawling around on floor looking for shoes,,falling boxes
crawling around on parents bed,,falling branch
crawling around on the ground,,falling gate
crawling around opened cabinets,,falling girl
crawling around the floor,,falling pipe
crawling backwards,,falling plank from fence
crawling beginning to stand up holding onto the bed frame,,falling tee
crawling between stove,,falling towel
crawling between two shelves,,falling tree branch
crawling by fathers work boots,,falling treegas tank
crawling down on the floor,,falling window
crawling in a tight space,,false ceiling and metal part
crawling in hallway,,family dog
crawling in her closet,,family dog basset hound
crawling in her play pen,,"family dog, floor"
crawling in the floor,,family dogs
crawling in the kitchen and pulling himself up,,family golf cart
crawling into a bed,,family member
crawling into a pile of laundry,,family members adhd meds
crawling into a playhouse,,family members head
crawling into bed,,family pool
crawling into carseat,,family porch
crawling into the metal part of a coffee table,,family puppy
crawling near a broken umbrella,,family swimming pool
crawling near top of stairs,,fan
crawling next to a standing wooden pallet,,fan and garbage can
crawling off the rug,,fan belt
crawling off trampoline,,fan blade
crawling on a bed,,fan blades
crawling on a carpeted floor,,fan circuit board
crawling on all fours,,fan cord
crawling on all fours in gym class,,"fan cord, hardwood floor"
crawling on bed,,"fan cord, tile floor"
crawling on carpet,,fan from air conditioner
crawling on carpet floor,,fan hood
crawling on dining room table,,fan leg
crawling on familys deck,,fan petal
crawling on floor,,"fan, bed"
crawling on floor and put something in mouth,,"fan, bedframe"
crawling on floor plating with her toys,,"fan, hammer"
crawling on floor pulled self onto stool,,"fan, screwdriver"
crawling on floor rug,,"fan, toilet"
crawling on floor with daughter,,"fan, trampoline"
crawling on garage floor,,"fan, window"
crawling on ground for gym exercises,,"fan, window glass"
crawling on hardwood floor playing with her niece,,fanbelt of car
crawling on her bed,,fans
crawling on kitchen chair,,fans cord
crawling on kitchen floor,,fast ball
crawling on mom's bed,,fast ball pitch
crawling on some benches,,fast pitch
crawling on table,,fast pitched ball
crawling on the bed,,fastball
crawling on the carpeted floor,,fastpitch ball
crawling on the chair,,father
crawling on the couch,,father's coat
crawling on the floor,,"father's shoes, wooden slide"
crawling on the floor and stood up,,father's walking boot
crawling on the floor going outside,,fathers cologne
"crawling on the floor, opened a drawer",,faucet
crawling on the ground by a soccer goal,,faucet cap
crawling on the porch,,faucet cord
crawling on the wood floor,,faucet diverter
crawling on top of monkey bars,,faucet handle
crawling onto bed,,faucet of sink
crawling out of a house fire,,faucets
crawling out of bed,,faulty furnace
crawling out of shower,,faulty heater
crawling out of toddler bed,,faulty kitchen outlet
crawling over a barbed wire type fence,,faulty outlet
crawling over a bottle when he tried to drink,,faulty water heater
crawling over a fort,,fb
crawling over furniture,,fb mini
crawling over the top of a couch,,fb of sclera corneal abr
crawling pulled self up leaned against hot glass,,feces
crawling quickly to keep up w brother,,feed
crawling through a broken window,,feed bags
crawling through a tunnel,,"feeding chair, sofa, hardwood floor"
crawling through basement door,,"feeding pillow, hardwood floor"
crawling through broken window,,feeding tube
crawling through the window,,feeding tube masking tape
crawling through window,,feet
crawling under a crib,,feet and slippers
crawling under a deck,,feet blisters
crawling under a desk,,fellow classmate
crawling under a metal playground equipment,,fellow player
crawling under a rope swing,,fellow skateboarder
crawling under a table,,fellow soccer player
crawling under a table to retrieve a toy and tried to stand up while under table,,fellow student
crawling under a tunnel structure,,felt
crawling under bed,,felt board
crawling under carts,,female condom
crawling under desk,,female partner
crawling under her bed,,feminine liquid soap
crawling under her house to fix the air conditioner duct work,,femur
crawling under his bed to retrieve an object,,fence
crawling under house,,fence and a tree
crawling under house replacing water pipes,,fence and bush
crawling under it,,fence and sharp post
crawling under kitchenttable,,fence and tree
crawling under table,,fence and wall
crawling under the bed,,fence and walls
crawling under the deck pulling out lawn furniture,,fence board
crawling under trampoline,,fence boards
crawling underneath a desk to clean up,,fence gate
crawling underneath a metal piece of unspecified playground equipment,,fence gate and wires
crawling up a flight of stairs,,fence gate door
crawling up basement stairs,,fence gates
crawling up cement stairs,,fence or glass
crawling up chair,,fence panel
crawling up ramp to slide,,fence piece
crawling up stairs,,fence pole
crawling up steps,,fence poles
crawling up the monkey bars,,fence post
crawling up the slide,,fence post driver
crawling up the stairs,,fence post hole digger
crawling up the steps,,"fence post, engine jack"
crawling up to moms leg,,fence posts
crawls on the floor,,fence pt
creating a wood burning device with microwave components to etch wood,,fence stake
crew practice,,fence wire
crocheting,,fence wires
crocheting her hair,,fence with barbed wire
cross country,,fence with electrical current
cross country cheerleading and gymnastics,,fence with metal sticking out
cross country meet,,fence with razor wire
cross country practice,,fence with spikes
cross country race,,"fence, another car"
cross country runner practice,,"fence, ball, bench"
cross country running,,"fence, bamboo stick"
cross country skiing,,"fence, building"
cross training wweight lifting and cardio training,,"fence, building, steering wheel"
crosscountry road trip,,"fence, camera"
crosscountry skiing,,"fence, chair"
crossed,,"fence, concrete"
crossed her legs while standing bent over,,"fence, concrete floor"
crossed the street on his bicycle,,"fence, concrete ground"
crossing a crosswalk,,"fence, container"
crossing a crosswalk on her bicycle,,"fence, curb"
crossing a fence,,"fence, dashboard"
crossing a stop sign,,"fence, dog"
crossing a walkway,,"fence, dumpster"
crossing an intersection on his bicycle,,"fence, hammock"
crossing border,,"fence, pole"
crossing country running,,"fence, railing"
crossing in the crosswalk on bike,,"fence, ring"
crossing intersection,,"fence, rock"
crossing intersection on bicycle,,"fence, sign"
crossing intersection on bike,,"fence, thorn bushes"
crossing intersection on skateboard,,"fence, trash, pole, airbag"
crossing legs,,"fence, tree"
crossing legs and clipping toenails,,"fence, trees"
crossing legs in chair,,"fence, vine"
crossing legs to tie shoes,,fenced
crossing railroad tracks on bicycle,,fenced pool
crossing someone over in basketball,,fencegate
crossing street,,fences
crossing street at crosswalk,,fences and divider
crossing street at crosswalk on bicycle,,fences and gates
crossing street holding scooter,,fences or fence posts
crossing street in stroller,,fenceside airbag
crossing street on bike,,fencing
crossing street on her motorized cart,,fencing material
crossing street on moped,,fencing sword
crossing street on skateboard,,fencing uniform
crossing street pushing cart,,fentanyl
crossing street via crosswalk while riding a bike,,fentanyl heroin and methamphetamine
crossing street while on skateboard,,fentanyl pills
crossing the monkey bars,,fentanyl powder
crossing the road,,fentanyl wrapped in a plastic bag
crossing the road on a moped,,"fentanyl, cocaine"
crossing the road on bicycle,,"fentanyl, heroin"
crossing the road on pushscooter,,feral cat
crossing the road talking on phone and smoking cigarette,,ferret
crossing the st,,ferrier tool
crossing the street,,ferris wheel
crossing the street in wheelchair and going up a ramp,,ferrous gluconate tabs
crossing the street on a bicycle,,ferrous sulfate pills
crossing the street on a bike,,ferrous sulfate tablets
crossing the street on an electric scooter,,fertilizer
crossing the street on bike,,fertilizers
crossing the street on electric scooter,,fertilizers and other chemicals
crossing the street on her scooter,,fetal monitor and floor
crossing the street on his bicycle,,fever reducer
crossing the street on his bike,,fiber board shoe rack
crossing the street on skateboard,,fiberglass
crossing the street to school bus,,fiberglass insulation
crossing the street while driving a golf cart,,fiberglass metal material
crossing the street with his electric scooter,,fiberglass pieces
crossing the threshold into the hallway,,fiberglass rake
crossing threshold,,fiberglass shower
crossing traffic,,fiberglass wall
crossing trolley tracks,,fiberglass wall insulation
crouched down,,fiberglass waterslide
"crouched, stood up",,fiberglass window
crouching to toilet,,fibula
crowd surfing,,fidget spinner
cruising,,field
cruising along coffee table,,field hockey
cruising along the couch,,field hockey ball
cruising and attempting to walk,,field hockey stick
cruising and holding onto the couch,,field hockey sticks
"cruising around couch, attempting to grab pillow",,field mouse
cruising on the coffee table,,fifteen foot ladder
cruising on the edge of the couch,,fifth digit
crumpling a ball of aluminum foil,,fifth metacarpal
crunched it in her mouth and attempted to eat it,,figet spinner
